completion_time,spatial_errors,target_distance
1219.90, 6.71,2
2000, 0.00,3
1280.13, 16.09,3
899.95, 1.51,1
1259.97, 2.87,3
1099.99, 0.00,1
700.28, 0.17,0
819.99, 1.06,1
1300.15, 8.01,2
1020.11, 0.00,2
1060.14, 0.00,3
660.06, 0.36,0
1360.06, 6.27,3
1219.89, 3.95,2
1239.93, 0.00,1
1160.04, 4.32,2
819.83, 1.20,0
1180.28, 0.00,1
839.86, 0.00,0
1159.97, 9.16,2
1640.25, 2.36,3
1099.98, 0.00,1
1399.87, 0.00,3
1520.02, 1.09,3
1219.91, 0.04,2
759.82, 1.62,0
1119.88, 3.38,0
1299.86, 4.74,2
1020.03, 0.00,1
1120.22, 1.34,2
1280.03, 0.00,2
979.87, 0.00,1
2000, 1.77,0
1079.96, 0.00,1
980.03, 2.73,2
1000.08, 1.71,3
639.85, 2.03,0
1280.10, 0.00,1
1820.16, 0.00,3
1399.92, 4.18,3
1360.05, 0.00,1
2000, 0.39,3
1159.90, 2.97,0
1020.12, 0.00,1
760.11, 2.42,0
919.95, 1.42,0
1040.15, 2.36,2
700.27, 0.78,0
1399.90, 5.64,3
1160.27, 0.00,1
1179.92, 5.14,3
999.98, 0.00,1
1500.05, 3.28,2
1399.81, 0.19,2
659.83, 0.00,0
1319.81, 3.89,2
780.13, 0.40,0
1240.03, 9.33,1
1520.04, 14.39,2
1100.00, 2.63,1
1020.03, 5.26,2
1520.12, 0.32,3
820.03, 3.11,0
640.20, 0.00,0
1160.26, 11.20,3
659.94, 0.00,0
1600.00, 3.11,3
1340.05, 6.15,1
859.86, 0.85,1
1800.15, 7.66,3
2000, 37.98,3
640.24, 0.52,0
959.87, 1.74,2
1180.29, 11.02,2
1139.94, 14.70,3
659.86, 0.00,0
599.83, 1.56,0
1439.89, 2.66,2
780.09, 0.45,0
879.90, 1.21,2
1040.13, 2.08,1
1080.20, 0.00,1
1119.90, 10.19,2
1580.17, 4.04,3
1500.09, 0.00,2
1120.03, 36.00,3
1080.03, 2.06,1
980.06, 1.43,1
1100.00, 3.03,1
1140.24, 8.62,2
1200.06, 1.19,3
1040.10, 1.75,0
620.03, 0.00,0
1339.97, 3.31,2
639.93, 0.59,0
1099.98, 6.70,2
880.04, 3.69,0
979.89, 0.40,1
1179.87, 0.00,2
739.93, 1.17,0
740.10, 1.11,1
